OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
186,2015,36360,보성군,949,10901,11.4868282402529,8.0,8.350405891903685,4,51,47,34,6,45,69.72927855953978,,0
187,2015,36370,화순군,1118,13291,11.88819320214669,8.0,9.264210867454524,4,59,55,35,6,54,85.82560299666252,,0
188,2015,36380,장흥군,872,8303,9.521788990825687,7.0,7.238846688987668,5,54,49,23,6,42,52.40090138666773,,0
189,2015,36390,강진군,715,7158,10.01118881118881,8.0,6.687626659359791,5,49,44,22,7,37,44.7243503349798,,0
190,2015,36400,해남군,1420,14650,10.3169014084507,8.0,6.553538683182537,5,58,53,29,7,46,42.9488692719699,해남군,2
191,2015,36410,영암군,835,15452,18.50538922155689,15.0,13.22738611409604,5,62,57,37,11,56,174.9637434113807,영암군,3
192,2015,36420,무안군,659,15020,22.79210925644917,19.0,13.18011785911538,6,63,57,41,14,57,173.7155067801722,무안군,1
193,2015,36430,함평군,562,11163,19.86298932384341,17.0,10.55206125635618,6,53,47,6,14,48,111.3459967578931,,0
194,2015,36440,영광군,706,12705,17.9957507082153,15.0,10.88941238344998,0,56,56,43,10,49,118.5793020568337,영광군,3
195,2015,36450,장성군,743,16174,21.76850605652759,18.0,13.41200237075607,6,63,57,6,8,58,179.8818075931664,장성군,2
196,2015,36460,완도군,639,6694,10.47574334898279,8.0,8.727967926982961,0,59,59,27,6,45,76.17742413444324,,0
197,2015,36470,진도군,661,6945,10.50680786686838,9.0,6.351673081149712,0,46,46,27,8,38,40.34375092980187,,0
198,2015,36480,신안군,1232,7371,5.982954545454546,6.0,5.418271310845709,0,59,59,24,5,33,29.35766399793368,,0
199,2015,37011,포항시남구,578,17266,29.8719723183391,20.0,20.08754739807278,7,63,56,43,8,57,403.5095604698205,,0
200,2015,37012,포항시북구,1064,19996,18.79323308270677,10.0,17.32974406610787,5,63,58,46,6,58,300.3200293968011,,0
201,2015,37020,경주시,1901,47125,24.78958442924776,20.0,15.81095302457582,7,63,56,47,9,57,249.9862355453433,경주시,3
202,2015,37030,김천시,1445,26381,18.25674740484429,11.0,14.86650508706296,5,62,57,46,8,58,221.0129735036687,김천시,2
203,2015,37040,안동시,2209,29722,13.45495699411498,8.0,12.51226230993749,0,62,62,49,6,59,156.5567081126823,안동시,6
204,2015,37050,구미시,888,30623,34.48536036036036,30.0,18.86658378931254,7,63,56,41,62,57,355.9479838791507,구미시,8
205,2015,37060,영주시,984,16639,16.90955284552846,12.0,13.61688895602454,0,61,61,4,11,58,185.419664840703,,0
206,2015,37070,영천시,1325,24959,18.83698113207547,14.0,13.5956926565352,5,62,57,37,9,58,184.8428588109651,영천시,9
207,2015,37080,상주시,1808,29237,16.17090707964602,12.0,11.30970366388164,0,62,62,62,8,59,127.9093969648179,,0
208,2015,37090,문경시,1332,18904,14.19219219219219,10.0,11.3984878218,0,60,60,55,8,57,129.9255246237229,,0
209,2015,37100,경산시,583,21412,36.72727272727273,35.0,19.09763828149346,8,63,55,37,62,56,364.7197879307643,경산시,2
210,2015,37310,군위군,870,11445,13.1551724137931,12.0,6.185453060849675,5,48,43,31,12,41,38.25982956797462,군위군,1
211,2015,37320,의성군,1701,19383,11.39506172839506,9.0,6.510450086464603,5,56,51,37,8,49,42.38596032834696,,0
212,2015,37330,청송군,1224,11900,9.722222222222221,8.0,5.934250008746141,0,41,41,32,7,37,35.21532316630358,,0
213,2015,37340,영양군,1193,6579,5.514668901927913,5.0,4.376458520547806,0,36,36,18,5,28,19.15338918207549,,0
214,2015,37350,영덕군,1085,12135,11.18433179723502,7.0,10.13717589630286,0,57,57,39,5,51,102.7623351525836,,0
215,2015,37360,청도군,988,17093,17.30060728744939,13.0,11.23108935287467,6,62,56,53,10,57,126.1373680522547,,0
216,2015,37370,고령군,547,12722,23.25776965265082,18.0,14.8238070342604,7,63,56,45,8,57,219.745254988988,,0
217,2015,37380,성주군,887,16679,18.80383314543405,16.0,11.38334128510591,5,60,55,42,8,54,129.5804588131967,,0
218,2015,37390,칠곡군,653,28079,43.0,44.0,14.28564427897964,12,63,51,12,62,51,204.0796324655437,칠곡군,10
219,2015,37400,예천군,964,11957,12.40352697095436,10.0,7.439801842851106,5,55,50,32,9,45,55.35065146089072,,0
220,2015,37410,봉화군,1748,15306,8.756292906178489,7.0,7.023667930664653,0,49,49,38,5,44,49.33191120024708,,0
221,2015,37420,울진군,1449,13963,9.636300897170463,6.0,11.41933423287715,0,61,61,44,0,57,130.40119432216,,0
222,2015,37430,울릉군,114,2779,24.37719298245614,22.0,9.507513511601449,11,51,40,14,17,34,90.3928131732841,,0
223,2015,38030,진주시,1017,26032,25.5968534906588,19.0,17.4107842441187,8,63,55,51,9,56,303.135407995252,진주시,2
